Artist,Song,Lyrics
Kiss,I Love It Loud,"Hey hey hey yeah, hey hey hey yeah   Hey hey hey yeah, hey hey hey yea      Stand up, you don't have to be afraid   Get down love is like a hurricane   Street boy, though I never could be tamed   Better believe it, yeah   Guilty till I'm proven innocent   Whiplash heavy metal accident   Rock on I want to be president      Cause I love it      Loud I want to hear it loud   Right between the eyes   Loud I want to hear it loud   Don't want no compromise      Turn it up, hungry for the medicine   Two fisted till the very end   No more treated like aliens   We're not gonna take it   No lies no more alibis   Turn it up, got me hypnotized   Rock on, won't be tranquilized      Cause I love it      Loud I wanna hear it loud   Right between the eyes   Loud I want to hear it loud   Don't want no compromise      Cause I love it      Loud I wanna hear it loud   Right between the eyes   Loud I want to hear it loud   Don't want no compromise      Hey hey hey yeah, hey hey hey yeah      Turn it up!      Headline jungle is the only rule   Front page roar of the nations cool   Turn it up this is my attitude   Take it or leave it      Loud I wanna hear it loud   Right between the eyes   Loud I want to hear it loud   Don't want no compromise      (I love it)      Loud I wanna hear it loud   Right between the eyes   Loud I want to hear it loud   Don't want no compromise      (I love it)      Loud I wanna hear it loud   Right between the eyes   Loud I want to hear it loud   Don't want no compromise      Hey hey hey yeah, hey hey hey yeah   Hey hey hey yeah, hey hey hey yeah  "
Reo Speedwagon,Rock'n' Roll Star,"I was just a boy when the river ran dry   And I can still remember my mama cry   She said ""Son leave as fast as you can   But don't waste your life in this rock 'n' roll band""   I saw the light and left as fast as I could   I knew deep down it was gonna do me good   So I threw my Fender in an old friend's car   I knew I'd come home a rock n'roll star      So we hit the road but the road hit back   We thought we'd take the world with a hit and run attack   Now I'm center stage but it feels bizarre   Despite new cars and caviar      An overnight success created by the press   But they'll eat you up if you show them any stress   So I lick my wounds and I hide my scars   The whole world thinks I'm a rock n' roll star      Rock 'n' roll star, rock 'n' roll star   That's what they call you   That's not what you are   Rock 'n' roll star, rock 'n' roll star   I still wanna be a rock 'n' roll star      So we got a break in our whirlwind tour   I called home said I'm comin' home for sure   I'm tired of hurry up, make the plane, jump in the car   I'm home on loan, I'm a rock 'n' roll star  "
Alan Parsons Project,Nothing Left To Lose,Nothing's good the news is bad   The heat goes on and it drives you mad   Scornful thoughts that fly your way      You should turn away cause there's nothing more to say   You gave the best you had to give   You only had one life to live   You fought so hard you were a slave      After all you gave there was nothing left to save   You've got nothing left to lose (you've got nothing left to lose)   No you've got nothing left to lose (who'd want to be standing in your shoes)   Nothing ventured nothing gained      No more lingering doubt remained   Nothing sacred or profane   Everything to gain   Cause you've nothing left  
Wanda Jackson,This Land Is Your Land,This land is your land this land is mine land from California to the New York Island   From redwood forrest to the gulf stream water this land was made for you and me   As I went walking that ribbon of highway I saw above me an endless skyway   I saw below me a golden valley and this land was made for you and me   This land is your land this land is mine land...   This land is your land this land is mine land...   I've roamed and I've rambled I've followed my footsteps   To the sparkling sands of a diamond desert   And all around me a voice was sounding this land was made for you and me   This land is your land this land is mine land...   This land is your land this land is mine land...          
Dolly Parton,Harper Valley PTA,"I want to tell you all a story 'bout a harper valley widow wife   Who had a teenage daughter that attended harper valley junior high   Well her daughter came home one afternoon and didn't even stop to play   And she said, ""mama, i've got a note here from the harper valley pta""   Well the note says ""mrs. johnson, you're wearing your dresses way too high   It's been reported you've been drinkin' and a runnin' round with men and goin' wild   Now we don't believe you ought to be a bringin' up your little girl this way""   And it was signed by the secretary, harper valley pta      Well it happened that the pta was gonna meet that very afternoon   And boy, were they surprised as mrs. johnson wore her miniskirt into the room   And as she walked up to the blackboard i can still recall the word she had to say   She said ""i'd like to address this meeting of the harper valley pta      Now there's bobby taylor sittin' there and seven times he's asked me for a date   And mrs. taylor sure seems to use a lot of ice whenever he's away   And mr. baker can you tell us why your secretary had to leave this town   And shouldn't widow jones be told to keep her window shades all pulled completely down      Now mr. harper couldn't be here 'cause he's stayed too long in kelly's bar again   And if you smell shirley thompson's breath you'll find she's had a little nip of gin   And then you have the nerve to tell me as a mother you think that i ain't fit   Well this is just a little payton place and you're all harper valley hypocrites      Now i wouldn't put you on because it really did, it happened just this way   That day my mama socked it to the harper valley pta   That day my mama socked it to 'em at the harper valley pta  "
Barbra Streisand,Hellacious Acres,"Look who's advertising   Billboards everywhere   ""See hellacious acres   Your tailor made nightmare""   Traffic is backed up for miles   Attendants welcome you with devilish smiles   Steady...steady ...   Have your tickets ready   Steady...steady ...   Go to hell   After dark   It's a sin filled city   An amusement park   It's a one way ticket to the other side   It's a Dr. Jekyll and a Mr. Hyde   See Lizzie Borden, she's one of the stars   And tricky Dicky barkin'   Flashin' you his pardon   Jack the ripper slashin' your tires   Even the devil needs money   To cover his overhead   That's why he opened hellacious acres   Or so his press agent said   Hang out with heavies   Your partners in crime   Forget the consequences, have a good time   Steady...steady ...   Have your tickets ready   Steady...steady ...   Go to hell   After dark   It's a sin filled city   An amusement park   It's a one way ticket to the other side   It's a Dr. Jekyll and a Mr. Hyde   Get down and study suspicion and doubt   At hellacious acres   Listen mischief makers   Admission's free you pay to get out  "
Miley Cyrus,Ain't Worried About Nothing Remix Lyrics,"I ain't worried 'bout nothin'   Nigga, I ain't worried 'bout nothin' (x3)      [Miley Cyrus]   I ain't worried 'bout nothin'   Bitch, I ain't worried 'bout nothin'   I ain't really worried 'bout nothin' (x3)   Bitch, I ain't worried 'bout nothin'      [Miley Cyrus]   Broke a record on the day I dropped my video   I got three thick girls in my video   Pop a molly and you know you know you'll never stop   You think I'm turnt up, wait until my album drops   Versace, versace versace I wear that vintage versace   Fashion week you can find me in New York posing for the paparazzi   And I'm all white like french montana   Oh shit there goes Hannah Montana   Acting like a little southern girl   Now twerking like I grew up in atlanta      I ain't worried 'bout nothin'   Nigga, I ain't worried 'bout nothin' (x3)      I ain't worried 'bout nothin'   Bitch, I ain't worried 'bout nothin'   I ain't really worried 'bout nothin' (x3)   Bitch, I ain't worried 'bout nothin'      Ridin around with that work, strapped up with that Nina   Got Two bad bitches with me, molly and Aquafina   Money don't mean nothing, niggas don't feel you when they see you   My whole 'hood love me, but now a nigga wanna touch me      I ain't worried 'bout nothin'   Nigga, I ain't worried 'bout nothin' (x3)      I ain't worried 'bout nothin'   Nigga, I ain't worried 'bout nothin' (x3)      Money don't mean nothin' (nada), bitches don't mean nothin' (nada)   Come here with your hand out, nigga I don't owe you nothin' (nana)   I'm ridin' round with that work, Max lost trial I'm hurt   I'll ride through Mott Haven, I'll ride through Castle Hill   You know that Coupe half a million, fuck how niggas feel   Cause I ain't really worried 'bout nothin', my niggas ain't worried 'bout nothin'      I ain't worried 'bout nothin'   Nigga, I ain't worried 'bout nothin' (x3)      I ain't worried 'bout nothin'   Nigga, I ain't worried 'bout nothin' (x3)      Ridin around with that work, strapped up with that Nina   Got Two bad bitches with me, molly and Aquafina   Money don't mean nothing, niggas don't feel you when they see you   My whole 'hood love me, but now a nigga wanna touch me      I ain't worried 'bout nothin'   Nigga, I ain't worried 'bout nothin' (x3)      I ain't worried 'bout nothin'   Nigga, I ain't worried 'bout nothin' (x3)  "
John Denver,High Wind Blowin',"There's such a high wind blowing   It's snowing in my bed   Oh baby, you started flowers growing   Where nothing grew instead.   I need some things to hide the failure   Of my garden, and the way it grew   Oh baby, I didn't know I could depend on you   There's such a high wind blowing   I won't get to sleep tonight   I think that warm wind feels alright   There's such a high wind blowing   I won't get to sleep at all,   I feel like I'm gonna fall   Into your fine high wind.      You look like twilight falling   On the ocean in the setting sun   Oh baby, do you know what you have done   I feel like you have changed my mind   About living the way I do   Oh baby, I didn't know I could depend on you   There's such a high wind blowing   I won't get to sleep tonight   I think that warm wind feels alright   There's such a high wind blowing   I won't get to sleep at all   I feel like I'm gonna fall   Into your fine high wind.  "
Iron Maiden,Phantom Of The Opera,"I've been looking so long for you now you won't get away from my grasp.   You've been living so long in hiding in hiding behind that false mask.   And you know and I know that you ain't got long now to last.   Your looks and your feelings are just the remains of your past.      You're standing in the wings, there you wait for the curtain to fall.   Knowing the terror and holding you have on us all.   Yeah, I know that you're gonna scratch me, maim me and maul.   You know I'm helpless from your mesmerizing cat call.      Keep your distance, walk away, don't take his bait.   Don't you stray, don't fade away.   Watch your step, he's out to get you, come what may.   Don't you stray, from the narrow way.      I'm running and hiding in my dreams you're always there.   You're the Phantom of the Opera, you're the devil, you're just out to scare.   You damaged my mind and my soul it just floats through the air.   Haunt me, you taunt me, you torture me back at your lair.  "
Aerosmith,Seasons Of Wither,"Blues hearted lady sleepy was she,   Love for the devil brought her to me.   Tears of a thousand drawn to her sin,   Seasons of wither holdin' me in.      Ooh woe is me I feel so badly for you.   Ooh woe is me I feel so sadly for you.   In time bound to lose your mind,   Live on borrowed time,   Take the wind right out of your sail.      Fireflies dance in the heat of,   Hound dogs that bay at the moon.   My ship leaves in the midnight,   Can't say I'll be back too soon.      They awaken far far away,   Heat of my candle show me the way.   Tears of a thousand drawn to her sin,   Seasons of wither holdin' me in.      Ooh woe is me I feel so badly for you.   Ooh woe is me I feel so sadly for you.   In time bound to lose your mind,   Live on borrowed time,   Take the wind right out of your sail.  "
Tracy Chapman,Nothing Yet,Good times and bad   Seen them both   Hope fly out the window   Fortune walk through the door   Learned not to believe   This is as good as it gets   Because we ain't seen nothing yet      Hands untied   But the same shuffle once again   Running all the time   Ain't going nowhere   It's a new page in the same book   It's a new game with the same rules   The lights go down   Fade to black on the set   And we ain't seen nothing yet      Saddled with bonds   Broken and in disrepair   Forty acres to a forty-ounce   Don't seem fair   The sirens rise and wail   Shadowed by Liberty's torch   As the boats that brought us over   Are slowly sinking off the shore   And we ain't seen nothing yet      This life a crime   A blessing and a curse   Chosen and unwanted   Displaced and usurped   I'd run away   But there is nowhere to go   So I'll stand and fight   And hope and pray   That the best is yet to come   And we ain't seen nothing yet    
Cher,Don't Come Cryin' To Me - Previously Unreleased,"Throw out our love like it was old news   Be sure to wear your best pair of walking out shoes   Go take the world into your hot hands   You want the music baby, go have the dance      Ooh, when you miss my love   And you're thinking about   How good it used to be   Ooh, and when you long for my touch      Baby, please don't come crying to me   Remember you were the one who wanted to be free   That's how you wanted to be   So don't come crying, don't come crying to me   Don't you come crying      Walk out the door, go on and go free   Step on my heart like it's the ground under your feet   Find another lover if you want to   You got to do whatever you got to do      Ooh, but when the nights get cold   And you're thinking about   How hot we used to be   Ooh, and when there's no one to hold      Baby, please don't come crying to me   Remember you were the one who wanted to be free   That's how you wanted to be   So don't come crying, don't come crying to me      When you're loving   And you tell you're [Incomprehensible] what you need   Oh, don't you come crying, crying to me, no, no   Don't come crying, don't you come crying      Ooh, but when you miss my love   When you're thinking about   How good it used to be   Ooh, and when you long for my touch      Baby, please don't come crying to me   Remember you were the one who wanted to be free   That's how you wanted to be   So don't come crying, don't come crying now      Don't come crying to me   Remember you were the one who wanted to be free   That's how you wanted to be   So, so don't come crying, baby, don't come crying now      When you're lonely   Can't get what you need   Oh, don't you come crying to me   Don't come crying   Don't you come crying      Don't come crying   Don't you come crying   Crying to me, no, no   Don't come crying  "
Pearl Jam,Landslide,"(Fleetwood Mac cover)   (taken from, Live 1995)   I took my love, and I took it down   I Climbed a mountain and I turned around   And I saw my reflection in the snow covered hills   'Till the landslide brought me down   Oh, mirror in the sky   What is love?   Can the child within my heart rise above   Can I sail thru the changing ocean tides   Can I handle the seasons of my life   Uh-uh I don't know   Uh-uh   Well, I've been afraid of changing   'Cause I've built my life around you   But time makes you bolder   Children get older   I'm getting older too   S0o0o0   (Gutiar solo)   I've been afraid of changing   'Cause I built my life around you   But time makes you bolder   Children get older   I'm getting older too   I'm getting older too   Oh, take this love, take it down   Oh, If you Climb a mountain and turn around   If you see my reflection in the snow covered hills   Well the landslide will bring it down down   And If you see my reflection in the snow covered hills   Well maybe the landslide will bring it down   Well well the landslide will bring it down  "
Young Jeezy,Trapped,"Yo, they still be grindin', and runnin'   Tryin' to get into somethin' or nothin'   I remember them days, when the block got hot, bullets flyin' for the what   It was, like, you ain't, really give a fuck   I'm a sister, mother, I'm your daughter, I'm your lover and I'm   Right here, and I'm sayin' that it's whack sauce   Everything that you do tryna be the boss   You ain't really really doin' it, (nah)   I mean honestly pursuing it   Ca-cause, if you did you wouldn't be murdering, (your own people like)   Oh ya see, it's a trap, (it's a trap, that's what it's called by the way)   It's a trap      It's a trap night nigga, here we go again   Jill left the door wide open, so I'm goin' in, (let's go)   Through a bedroom I could see my momma tears, (tears)   All I smell is Hennessey mixed with my momma fears, (yeah)   Please momma don't cry, you know I hate cryin', (cryin')   I try my best not to die, you know I hate dyin', (yeah)   Three eighty for my thirteenth birthday, (birthday)   I promised her I wouldn't let you motherfuckers hurt me, (yeah)   So y'all get back, Jeezy got a automatic   Every time I turn the TV on a nigga seein' static, (damn)   Guess they forgot to pay them cable folks   Them niggas in my first class got them cable jokes, (haha)   Open up the refrigerator see some old milk   Shit been sittin' so long look like some old silk, (damn)   I've been cursed since the day this earth birthed me   I've been cursed since the day my mother birthed me, (yeah)   And how did I get here in the first place   Oh that's right, see the trap was my birthplace (haha, young)      [Chorus]   Said that I know you've been trapped, (trapped)   Like you wanna move on, but they hold you back   To face consequences, of what you did on some bullshit (yeah, wassup)   Said that I know you've been trapped, (trapped)   Like you wanna move on, but they hold you back, (ain't no way out)   To face consequences, of what you did on some bullshit (what you know bout this homie, trap life, let's go)      Even though we had a will, we ain't have a way, (way)   They just told us how to live, we ain't have a say, (say)   All I know is the other side got some cuffs for ya, (for ya)   Fresh khaki suit, nigga that's enough for ya, (yeah)   Got ya spendin' all ya money on lawyer fees, (fees)   Judge throwin' numbers at you like he speakin' Japanese, (oo-wahh)   All cause a nigga out here playin' bakery, (bakery)   I'm out here tryna get this bread, somebody pray for me, (haha)   I'm always on the block so I rarely go to church, (church)   Didn't wanna hear it from the preacher, cause the truth hurts   And right now I'm so high, I should be scared of heights, (heights)   A Town nigga I be on that kryptonite, (yeah)   I got deadlines nigga no bedtime, (time)   The only thing promised to ya is some fed time, (time)   And how did I get here in the first place   Oh that's right, see the trap was my birthplace (haha, Young)      You ain't really really doin' it, (nah)   I mean honestly pursuin' it, (not at all)   Ca-cause, if you did you wouldn't be murdering, (your people like)   Oh ya see, it's a trap, (it's a trap ya'll)   It's a trap (this the trap life, welcome to it, yeah, let's go)      [Chorus]      Trap or cry nigga till the day I mothafuckin' die nigga   Till you put me in that mothafuckin' couch and you put that dirt on me homie   Goin, ain't no way out   It's death or jail nigga   I'm there   Count me in   Trap life  "
Koes Plus,Kau Datang Lagi,Kau datang lagi kau tak sendiri   Aku mengerti bukan berarti kau kembali   Tak perlu lagi kita sesali   Semua janji walau kini tak terjadi      Reff:   Jangan pernah kau kira   Hatiku tak akan duka   Apa yang kau impikan   Akupun mendambakan      Ku tulis lagi kisah yang ini   Kan kuulangi kuingat lagi sampai nanti      Kembali ke Reff      Kau datang lagi kau tak sendiri   Aku mengerti bukan berarti kau kembali  
Waterboys,Why Look At The Moon,"Willows were swaying   The water was rippling   The froggies were singing      Along with the laughing at the bank   We have the moon to thank   For this lovely scene we might never have seen   If it hadn't been for the moon      Why look at that moon?      Away up high, seeing everything   That goes by, why look at that moon   Why, why, why look at the moon?   Why, why, why look at the moon?      Sitting in the desert   Beneath a lonesome sky   Cool, my oh my, it would be      If it never have been above   That fateful little boy   That one who has beheld   True love through history      Why must it start?   Why must the lovers part?   And why does the cheatin' go on?   Why have hearts turned to stone?      Why look at that moon?      Away up high, seeing everything   That goes by, why look at that moon   Why, why, why look at the moon?   Why, why, why look at the moon?      Why look at that moon?   Ain't it grand?   Why look at that moon?   Helps me understand      Why look at that moon?   Inspirator of many a dream   Why look at that moon?  "
Christina Aguilera,Don't Make Me Love You,"Don't make me love you till I'm ready   Don't make me give you more than my kisses   I need you to go slow and steady   Don't make me love you till I'm ready      Ooh, oh yeah      Why you wanna rush into my life   Don't you wanna stop and get to know me better   We got all the time in the world tonight   And if we're meant to be we'll be together, oh oh   Stay around just slow it down   Till we find out if we got what it takes      Don't make me love you till I'm ready   Don't make me give you more than my kisses   I need you to go slow and steady   Don't make me love you till I'm ready      Everything I know about you so far   Makes me believe that you're the one for me   But there's still a lot that's on my mind   And I need time before we go further   Don't you see   So hold me, fold me, but don't be   Thinking I don't want you too      Don't make me love you till I'm ready   Don't make me give you more than my kisses   I need you to go slow and steady   Don't make me love you till I'm ready      Don't make me love you till I'm ready   Don't make me give you more than my kisses   I need you to go slow and steady   (Till I'm ready baby)   Don't make me love you till I'm ready      It's better with a little bit of mystery   Let's wait till we have a bit of history   Behind ourselves, ooh ohh yeah   We don't got to be in such a rush   We can live for the moment if we trust   We'll be right here tomorrow, oh yeah yeah      Don't make me love you, ooh, ohh ooh   Don't make me give you, ooh ohh   I need you to go, ooh yeah   Don't make me love you, oh, oh, oh yeah yeah      Don't make me love you till I'm ready   (Till I'm ready, ooh ohh)   Don't make me give you more than my kisses   I need you to go slow and steady   (Slow and steady)   Don't make me love you till I'm ready      Don't make me love you, don't make, ooh ohh   Don't make me give you more than my kisses   I need you to go slow and steady, baby   Don't make me love you till I'm ready   (Ready, yeah yeah)      Don't make me love you till I'm ready   Don't make me give you more than my kisses   (More than my, love ohh oh)   I need you to go slow and steady   Don't make me love you till I'm ready   Yeah yeah  "
Roxy Music,Mother Of Pearl,"Turn the lights down   Way down low   Turn up the music   Hi as fi can go   All the gang's here   Everyone you know   It's a crazy scene   Hey there just look over your shoulder   Get the picture?      No no no no (Yes)   Walk a tightrope   Your life-sign-line   Such a bright hope   Right place, right time   What's your number?   Never you mind   Take a powder   But hang on a minute what's coming round the corner?   Have you a future?      No no no no (Yes)   Well I've been up all night again   Party-time wasting is too much fun   Then I step back thinking   Of life's inner meaning   And my latest fling   It's the same old story   All love and glory   It's a pantomime      If you're looking for love   In a looking glass world   It's pretty hard to find   Oh mother of pearl   I wouldn't trade you   For another girl   Divine intervention   Always my intention   So I take my time      I've been looking for something   I've always wanted   But was never mine   But now I've seen that something   Just out of reach, glowing   Very Holy grail   Oh mother of pearl   Lustrous lady   Of a sacred world      Thus: even Zarathustra   Another-time-loser   Could believe in you   With every goddess a let down   Every idol a bring down   It gets you down   But the search for perfection   Your own predilection   Goes on and on and on and on   Canadian Club love   A place in the Country   Everyone's ideal      But you are my favorita   And a place in your heart dear   Makes me feel more real   Oh mother of pearl   I wouldn't change you   For the whole world   You're highbrow, holy   With lots of soul      Melancholy shimmering   Serpentine sleekness   Was always my weakness   Like a simple tune   But no dilettante   Filigree fancy      Beats the plastic you   Career girl cover   Exposed and another   Slips right into-view   Oh looking for love   In a looking glass world   Is pretty hard for you   Few throwaway kisses   The boomerang misses   Spin round and round   Fall on featherbed quilted   Faced with silk      Softly stuffed eider down   Take refuge in pleasure   Just give me your future   We'll forget your past   Oh mother of pearl   Submarine lover      In a shrinking world   Oh lonely dreamer   Your choker provokes   A picture cameo   Oh mother of pearl   So so semi-precious   In your detached world   Oh mother of pearl   I wouldn't trade you   For another girl  "
King Diamond,Spare This Life,"""I, O'Brian of the Black Horsemen, forbid this sacrilege   You all know that this Demon Child has Abigail's spirit   Inside   But what you don't know is   That she is the reincarnation of my stillborn half-sister   Her spirit is not EVIL, nor is it GOOD   All it wants, is to make things right again   So spare this life, through which revenge can be mine   And Abigail can find her final peace   I, O'Brian, have spoken   Let it be done""  "
Fleetwood Mac,Future Games,"I did a thing last night   You know those future games   I turned off all the lights   Oh, the future came   You were by my side   Will you explain-oh yeah   Real rhyme or reason for those future games      Now you were there last night   And oh were you afraid   Of things we'd come upon   While playing future games   But baby it's alright and so have faith   Oh yeah, you invent the future that you want to face      How many people sit home at night   Wondering if this day will be here tonight   Wondering if children they bring to the light   Inherit the world, or inherit the night   Wondering if neighbors are thinking the same   All of the wild things tomorrow will tame   Talking of journeys that happen in vain      Well I know I'm not the only one   To ever spend my life sitting playing future games      You better take your time   You know there's no escape   The future sends a sign   Of things we will create   Baby it's alright   And so have faith   Oh yeah, you invent the future that you want to face      How many people sit home at night   Wondering if this day will be here tonight   Wondering if children they bring to the light   Inherit the world, or inherit the night   Wondering if neighbors are thinking the same   All of the wild things tomorrow will tame   Talking of journeys that happen in vain      And I know I'm not the only one   To ever spend my life sitting playing future games      Future games   Future games   Future games   Future games      I know I'm not the only one   I know I'm not the only one   I know I'm not the only one   I know I'm not the only one   I know I'm not the only one   I know I'm not the only one   I know I'm not the only one   I know I'm not the only one  "
Widespread Panic,Travelin' Man,"Been thinkin' all day   Packin' my car   With this baggage of mine   I wouldn't get too far      Stored away on a bus   No need to hide   I'm slowing down   Catchin' one last ride      Been feelin' alright   For a couple of days   Either in a fog   Or a sunny haze      Got a big hole   In my deflector screen   What I really need   Warp nine, Geordi, please      Wanna keep my eyes on the road   Wanna carry my life in a bag   Like to live in a hotel room   Wanna be a travelin' man      Wanna keep my eyes on the road   Wanna carry my life in a bag   Like to live in a hotel room   Wanna be a travelin' man   Wanna be a travelin' man   Wanna be a travelin' man      I'm down the road   Somewhere in between   Been thinkin' about   What's underneath      It's all in my mind   I got a brand new start   All I can do   Is take care of my heart      Wanna keep my eyes on the road   Wanna carry my life in a bag   Like to live in a hotel room   Wanna be a travelin' man      Wanna keep my eyes on the road   Wanna carry my life in a bag   Like to live in a hotel room   Wanna be a travelin' man   Wanna be a travelin' man   Wanna be a travelin' man  "
Starship,Transatlantic,"3000 miles across the sea, are you waiting there for me   I'm stuck here in this state, so I must communicate   Don't know just where you are, just know that you're too far   There's only one thing I can do      Chorus:   Gonna send my love to you (Transatlantic)   Beam my message through   Gonna find your frequency (Transatlantic)   Send it E.S.P.      through the static in the air, I will transmit that I care   Do you read me loud and clear, yes that's my heartbeat that you hear   No phone no radio, the telegram's too slow   I'm going crazy without you      Gonna send my love to you (Transatlantic)   Beam my message through   Gonna find your frequency (Transatlantic)   Send it E.S.P.      S.O.S, in distress   Close my eyes for your reply   Do you read me   Will you reach me      Transistor tube and microchip   Won't bring me closer to your lips   Send a kiss out through the night   Like a laser beam of light   No underwater train, no supersonic rain   Is fast enough to get to you      Gonna send my love to you (Transatlantic)   Beam my message through   Gonna find your frequency (Transatlantic)      Will you   Will you read me   Send my love (Transatlantic)   I want to know   Do you read me  "
Deep Purple,Back To Back,I read in the news   That the average man   Is uplifted five times a day   I'm confused   I have to confess   My feelings never goes away   I know it's right   They asked the average man   In a survey across the nation   I can't understand the average man   Keeps losing his concentration      Oh you gotta use it   Oh you gonna lose it      I'm just begun   When you're all done   I see you running down the road   Can't hear a thing   My mind is blasted   And my head is about to explode   Feeling the pain   Just more of the same   As we rolling through the night   Going so fast   We're sure to hit the next town   Before the last one's out of sight      Oh you gotta use it   Oh you gonna lose it      Back to back   One on one   Shake it up   Move it on   Back to back   One on one   Turn it up   Hold it down  
Dave Matthews Band,In My Life,"There are places I remember all my life,   Though some have changed,   Some forever, not for better,   Some have gone and some remain.      All these places had their moments   With lovers and friends I still can recall.   Some are dead and some are living.   In my life I've loved them all.      But of all these friends and lovers,   There is no one compares with you,   And these memories lost their meaning   When I think of love as something new.      Though I know I'll never lose affection   For people and things that went before,   I know I'll often stop and think about them,   In my life I'll love you more.      Though I know I'll never lose affection   For people and things that went before,   I know I'll often stop and think about them,   In my life I'll love you more.   In my life I'll love you more.  "
Louis Armstrong,"Cold, Cold Heart","Oh, yes, man, I tried so hard, my dear, to show that you're my every dream   Yet you're afraid each thing I do is just some evil scheme   A memory from your lonesome past keeps us so far apart   Why can't I free your doubtful mind and melt your cold, cold heart?      Another love before my time made your heart sad and blue   And so my heart is paying now for things I didn't do, yes   In anger, unkind words are said that make the teardrops start   Why can't I free your doubtful mind and melt your cold, cold heart?  "
Tim Buckley,Tijuana Moon,"They told me all the hymns were born   Out of the saxophone,   And I went down to test them all   Beneath the Tijuana moon,   I saw violence in the moon   Two broken lovers strong and strewn,   I drank myself into a dream:      Tijuana moon,   My daddy Tijuana moon,   Oh my darlin',   Tijuana moon Lord my daddy   Tijuana moon      You can keep the Texas blues,   Tequila and the burning stone,   But my amigo   Nothin's good against the Tijuana moon      Talk about daddy Tijuana moon   Talk about lovin' Tijuana moon   Talk about daddy Tijuana moon  "
Kinks,Here Comes Flash,"You'd better run, you'd better fly.   Hide your daughters, hide your wives.   Lock your doors and stay inside   Here comes Flash.      There's no way that you can win,   You must obey his every whim,   Or else he's going to do you in.   Here comes Flash.      He will smile at you, be a friend to you,   Then he's gonna screw you just like that.   He is going to use you, his heavies will abuse you,   And then he's gonna lean on you,   Here comes Flash.      He is gonna rough you up,   Duff you up and touch you up,   And then he's gonna screw you up.   Even though he's mean on you,   There's nothing else that you can do   Just sit back and take his abuse.   He will smile at you, be so sweet to you.   Then he's gonna cheat on you.      You'd better run, you'd better fly.   Hide your daughters, hide your wives.   Lock your doors and stay inside.   Here comes Flash.      Once we loved and trusted him,   Now his thugs and bullies make us live in sin.   They suppress us, oppress us, molest us, possess us.      You'd better run, you'd better fly.   Hide your daughters, hide your wives.   And lock your doors and stay inside.      He will smile at you, be a friend to you,   Then he's gonna screw you just like that.      You'd better run, you'd better fly.   Hide your daughters, hide your wives.   And lock your doors and stay inside.   Here comes Flash.      There's no way that you can win,   You must obey his every whim   Or else he's going to do you in.   Here comes Flash.   Here comes Flash.  "
Louis Armstrong,Do Nothin' Till You Hear From Me,"Do nothin' till you hear from me   Pay no attention to what's said   Why people tear the seams of anyone's dream   Is over my head      Do nothin' till you hear from me   At least consider our romance   If you should take the words of everyone you've heard   I haven't a chance      True, I've been seen with someone new   But does that mean that I'm untrue?   When we're apart the words in my heart reveal   How I feel about you      Some kiss may cloud my memories   And other's arms may hold a thrill   But please do nothing till you hear it from me   And you never will      Do nothin' till you hear from me   Pay no attention to what's said   Why people tear the seams of anyone's dream   Mama, it's over my head      Do nothin' till you hear from me   At least consider our romance   If you should take the words of others you've heard   Mama, I haven't a chance      True, I've been seen with someone new   But does that mean that I'm untrue?   When we're apart, yes, the words in my heart reveal   How I feel about      Some kiss may cloud my memories   And other's arms may hold a thrill   Please do nothing till you hear it from me   Mama, you never will  "
Bob Seger,The Stealer,"Words and music by fraser and rogers      I went down to the center of town      Beneath my feet was the burning ground      Just stood on the corner as sexy as could be      Said ""hey good looking, walk away with me""      I said ""yeah, I'm your stealer,      Come to steal your love.""            Sun was shining, the world was bright,      I said, ""tell me darling, where you gonna be tonight? ""      ""goin' around the corner, where the music's loud.      I'm tired of the city, gonna cat me around.""      And I said ""yeah, I'm your stealer,      I come to steal your love.""      I come to      I come to steal            Goin' around the corner, where the music's loud.      I'm tired of the city, gonna cat me around.      And I said ""yeah, I'm your stealer      I come to steal your love.      I'm stealin'...let me steal now...come steal it...      Come steal it...come steal it...  "
